10	1	39560000	41680000	133797422	133797422
11	120000	50840000	54520000	135086622	135086622
12	1	34720000	37240000	133275309	133275309
13	0	0	18160000	114364328	114364328
14	0	0	18640000	107043718	107043718
15	0	0	19760000	101991189	101991189
16	1	18240000	18760000	90338345	90338345
17	80000	22760000	25920000	83257441	83257441
18	1	15440000	20920000	80373285	80373285
19	240000	24440000	27240000	58617616	58617616
1	560000	125200000	143520000	248956422	248956422
20	40000	26400000	28520000	64444167	64444167
21	0	0	9640000	46709983	46709983
22	0	0	10920000	50818468	50818468
2	1	92040000	94160000	242193529	242193529
3	1	91560000	93720000	198295559	198295559
4	1	49360000	51800000	190214555	190214555
5	1	46440000	49560000	181320000	181538259
6	80000	58480000	60200000	170805979	170805979
7	1	58120000	60880000	159345973	159345973
8	120000	44000000	45920000	145138636	145138636
9	1	61760000	64000000	138394717	138394717
X	200000	58560000	62480000	156040895	156040895
